Algoritmo,Conjunto,Tamanho,Iteração,Tempo,Contagem
Bucket Sort,Aleatórios,100,0,9.012222290039062e-05,4950
Bucket Sort,Aleatórios,100,1,3.743171691894531e-05,4950
Bucket Sort,Aleatórios,100,2,6.842613220214844e-05,4950
Insertion Sort,Aleatórios,100,0,4.649162292480469e-05,2320
Insertion Sort,Aleatórios,100,1,3.027915954589844e-05,2320
Insertion Sort,Aleatórios,100,2,2.765655517578125e-05,2320
Selection Sort,Aleatórios,100,0,8.106231689453125e-05,4950
Selection Sort,Aleatórios,100,1,5.0067901611328125e-05,4950
Selection Sort,Aleatórios,100,2,5.197525024414063e-05,4950
Bucket Sort,Decrescentes,100,0,3.719329833984375e-05,4950
Bucket Sort,Decrescentes,100,1,5.555152893066406e-05,4950
Bucket Sort,Decrescentes,100,2,6.127357482910156e-05,4950
Insertion Sort,Decrescentes,100,0,7.891654968261719e-05,4950
Insertion Sort,Decrescentes,100,1,2.7418136596679688e-05,4950
Insertion Sort,Decrescentes,100,2,2.7179718017578125e-05,4950
Selection Sort,Decrescentes,100,0,2.5510787963867188e-05,4950
Selection Sort,Decrescentes,100,1,2.574920654296875e-05,4950
Selection Sort,Decrescentes,100,2,6.437301635742188e-05,4950
Bucket Sort,Ordenados,100,0,4.863739013671875e-05,4950
Bucket Sort,Ordenados,100,1,6.175041198730469e-05,4950
Bucket Sort,Ordenados,100,2,2.5033950805664062e-05,4950
Insertion Sort,Ordenados,100,0,2.2411346435546875e-05,0
Insertion Sort,Ordenados,100,1,9.775161743164062e-06,0
Insertion Sort,Ordenados,100,2,1.1920928955078123e-05,0
Selection Sort,Ordenados,100,0,3.552436828613281e-05,4950
Selection Sort,Ordenados,100,1,2.7179718017578125e-05,4950
Selection Sort,Ordenados,100,2,2.5272369384765625e-05,4950
Bucket Sort,ParcialmenteOrdenados,100,0,4.982948303222656e-05,4950
Bucket Sort,ParcialmenteOrdenados,100,1,4.57763671875e-05,4950
Bucket Sort,ParcialmenteOrdenados,100,2,8.177757263183594e-05,4950
Insertion Sort,ParcialmenteOrdenados,100,0,1.8358230590820312e-05,1412
Insertion Sort,ParcialmenteOrdenados,100,1,4.529953002929688e-05,1412
Insertion Sort,ParcialmenteOrdenados,100,2,2.1457672119140625e-05,1412
Selection Sort,ParcialmenteOrdenados,100,0,5.1021575927734375e-05,4950
Selection Sort,ParcialmenteOrdenados,100,1,5.0067901611328125e-05,4950
Selection Sort,ParcialmenteOrdenados,100,2,7.653236389160156e-05,4950
Bucket Sort,Aleatórios,200,0,0.0001628398895263,19900
Bucket Sort,Aleatórios,200,1,0.0003037452697753,19900
Bucket Sort,Aleatórios,200,2,0.0001635551452636,19900
Insertion Sort,Aleatórios,200,0,5.1021575927734375e-05,10501
Insertion Sort,Aleatórios,200,1,6.103515625e-05,10501
Insertion Sort,Aleatórios,200,2,4.863739013671875e-05,10501
Selection Sort,Aleatórios,200,0,7.462501525878906e-05,19900
Selection Sort,Aleatórios,200,1,9.1552734375e-05,19900
Selection Sort,Aleatórios,200,2,8.821487426757812e-05,19900
Bucket Sort,Decrescentes,200,0,0.0001680850982666,19900
Bucket Sort,Decrescentes,200,1,0.0001461505889892,19900
Bucket Sort,Decrescentes,200,2,0.0001325607299804,19900
Insertion Sort,Decrescentes,200,0,8.869171142578125e-05,19897
Insertion Sort,Decrescentes,200,1,8.7738037109375e-05,19897
Insertion Sort,Decrescentes,200,2,8.749961853027344e-05,19897
Selection Sort,Decrescentes,200,0,0.000108003616333,19900
Selection Sort,Decrescentes,200,1,6.890296936035156e-05,19900
Selection Sort,Decrescentes,200,2,8.034706115722656e-05,19900
Bucket Sort,Ordenados,200,0,0.0001037120819091,19900
Bucket Sort,Ordenados,200,1,7.128715515136719e-05,19900
Bucket Sort,Ordenados,200,2,7.2479248046875e-05,19900
Insertion Sort,Ordenados,200,0,8.344650268554688e-06,0
Insertion Sort,Ordenados,200,1,8.106231689453125e-06,0
Insertion Sort,Ordenados,200,2,8.106231689453125e-06,0
Selection Sort,Ordenados,200,0,6.961822509765625e-05,19900
Selection Sort,Ordenados,200,1,5.960464477539063e-05,19900
Selection Sort,Ordenados,200,2,6.079673767089844e-05,19900
Bucket Sort,ParcialmenteOrdenados,200,0,0.0001068115234375,19900
Bucket Sort,ParcialmenteOrdenados,200,1,8.630752563476562e-05,19900
Bucket Sort,ParcialmenteOrdenados,200,2,8.96453857421875e-05,19900
Insertion Sort,ParcialmenteOrdenados,200,0,2.002716064453125e-05,2997
Insertion Sort,ParcialmenteOrdenados,200,1,1.9550323486328125e-05,2997
Insertion Sort,ParcialmenteOrdenados,200,2,1.931190490722656e-05,2997
Selection Sort,ParcialmenteOrdenados,200,0,6.151199340820312e-05,19900
Selection Sort,ParcialmenteOrdenados,200,1,5.7220458984375e-05,19900
Selection Sort,ParcialmenteOrdenados,200,2,5.745887756347656e-05,19900
Bucket Sort,Aleatórios,500,0,0.000741958618164,124750
Bucket Sort,Aleatórios,500,1,0.000762939453125,124750
Bucket Sort,Aleatórios,500,2,0.0006217956542968,124750
Insertion Sort,Aleatórios,500,0,0.0002384185791015,63916
Insertion Sort,Aleatórios,500,1,0.0002384185791015,63916
Insertion Sort,Aleatórios,500,2,0.0002381801605224,63916
Selection Sort,Aleatórios,500,0,0.0006334781646728,124750
Selection Sort,Aleatórios,500,1,0.0005321502685546,124750
Selection Sort,Aleatórios,500,2,0.0003728866577148,124750
Bucket Sort,Decrescentes,500,0,0.0006794929504394,124750
Bucket Sort,Decrescentes,500,1,0.0007896423339843,124750
Bucket Sort,Decrescentes,500,2,0.0006978511810302,124750
Insertion Sort,Decrescentes,500,0,0.0004575252532958,124729
Insertion Sort,Decrescentes,500,1,0.0004212856292724,124729
Insertion Sort,Decrescentes,500,2,0.0004448890686035,124729
Selection Sort,Decrescentes,500,0,0.0003645420074462,124750
Selection Sort,Decrescentes,500,1,0.0003664493560791,124750
Selection Sort,Decrescentes,500,2,0.0003638267517089,124750
Bucket Sort,Ordenados,500,0,0.0003883838653564,124750
Bucket Sort,Ordenados,500,1,0.000396728515625,124750
